street_number,actual_street_name,Suburb,country,Borough,County,london_region,region,Date,day,month,year,quarter,value,tenure_type,tenancy_type,leasehold_unexpired_term,ground_rent_dummy,ground_rent_inpounds,rent_yearly_inpounds,years_purchase
39,HOPTON ROAD,STREATHAM,UNITED KINGDOM,Lambeth,Greater London,INNER,Greater London,15-12-1898,15,12,1898,4,405,LEASEHOLD,YEARLY,82,1,9,50,8.1
77,LEWIN ROAD,STREATHAM,UNITED KINGDOM,Lambeth,Greater London,INNER,Greater London,18-05-1898,18,5,1898,2,710,FREEHOLD,YEARLY,999,0,,45,15.77777778
83,LEWIN ROAD,STREATHAM,UNITED KINGDOM,Lambeth,Greater London,INNER,Greater London,18-05-1898,18,5,1898,2,660,FREEHOLD,YEARLY,999,0,,38,17.36842105
88,MITCHAM LANE,STREATHAM,UNITED KINGDOM,Lambeth,Greater London,INNER,Greater London,20-09-1898,20,9,1898,3,600,LEASEHOLD,YEARLY,81,1,10.5,,
1,MOUNT EPHRAIM ROAD,STREATHAM,UNITED KINGDOM,Lambeth,Greater London,INNER,Greater London,11-03-1898,11,3,1898,1,,LEASEHOLD,YEARLY,56,1,16,100,
6,NETHERWOOD TERRACE,STREATHAM,UNITED KINGDOM,Lambeth,Greater London,INNER,Greater London,24-05-1898,24,5,1898,2,525,FREEHOLD,YEARLY,999,0,,35,15
54,STOCKFIELD ROAD,STREATHAM,UNITED KINGDOM,Lambeth,Greater London,INNER,Greater London,08-06-1898,8,6,1898,2,370,LEASEHOLD,YEARLY,95,1,7,36,10.27777778
2,BORDER CRESCENT,SYDENHAM,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,01-07-1898,1,7,1898,3,600,LEASEHOLD,YEARLY,85,1,35,,
24,CRYSTAL PALACE PARK ROAD,SYDENHAM,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,01-07-1898,1,7,1898,3,620,LEASEHOLD,QUARTERLY,85,1,35,90,6.888888889
26,CRYSTAL PALACE PARK ROAD,SYDENHAM,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,01-07-1898,1,7,1898,3,650,LEASEHOLD,YEARLY,85,1,35,100,6.5
32,CRYSTAL PALACE PARK ROAD,SYDENHAM,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,01-07-1898,1,7,1898,3,670,LEASEHOLD,YEARLY,85,1,35,120,5.583333333
4,FAIRLAWN TERRACE,SYDENHAM,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,10-08-1898,10,8,1898,3,475,LEASEHOLD,YEARLY,63,1,8.5,40,11.875
70,NEWLAND'S PARK,SYDENHAM,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,14-06-1898,14,6,1898,2,565,LEASEHOLD,YEARLY,82,1,12.2,65,8.692307692
84,NEWLAND'S PARK,SYDENHAM,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,14-06-1898,14,6,1898,2,550,LEASEHOLD,YEARLY,82,1,12.5,65,8.461538462
13,PEAK HILL AVENUE,SYDENHAM,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,09-06-1898,9,6,1898,2,460,FREEHOLD,YEARLY,999,0,,40,11.5
35,SILVERDALE,SYDENHAM,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,09-06-1898,9,6,1898,2,200,LEASEHOLD,YEARLY,71,1,32,85,2.352941177
18,VENNER ROAD,SYDENHAM,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,27-05-1898,27,5,1898,2,375,LEASEHOLD,YEARLY,80,1,10,42,8.928571429
6,ALDIS TERRACE,TOOTING,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,22-03-1898,22,3,1898,1,100,LEASEHOLD,YEARLY,69,1,7,20,5
71,DEFOE ROAD,TOOTING,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,11-11-1898,11,11,1898,4,280,LEASEHOLD,YEARLY,79,1,5,24,11.66666667
70,RITHERTON ROAD,TOOTING,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,02-11-1898,2,11,1898,4,615,LEASEHOLD,YEARLY,92,1,9.75,60,10.25
13,SELKIRK ROAD,TOOTING,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,06-04-1898,6,4,1898,2,275,LEASEHOLD,MONTHLY,80,1,8,30,9.166666667
3,GROVE PARK ROAD,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,28-07-1898,28,7,1898,3,260,LEASEHOLD,YEARLY,84,1,6,33.8,7.692307692
289,HIGH ROAD,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,30-03-1898,30,3,1898,1,285,LEASEHOLD,YEARLY,78,1,7.35,,
435,HIGH ROAD,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,24-05-1898,24,5,1898,2,40,LEASEHOLD,YEARLY,38,1,32,42,0.952380952
670,HIGH ROAD,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,30-11-1898,30,11,1898,4,955,FREEHOLD,YEARLY,999,0,,45,21.22222222
35,NORTHUMBERLAND GROVE,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,20-01-1898,20,1,1898,1,210,LEASEHOLD,YEARLY,82,1,8,28,7.5
571,SEVEN SISTERS ROAD,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,03-06-1898,3,6,1898,2,245,LEASEHOLD,YEARLY,78,1,8,25,9.8
573,SEVEN SISTERS ROAD,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,03-06-1898,3,6,1898,2,260,LEASEHOLD,YEARLY,78,1,8,32,8.125
595,SEVEN SISTERS ROAD,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,03-06-1898,3,6,1898,2,240,LEASEHOLD,YEARLY,78,1,8,25,9.6
597,SEVEN SISTERS ROAD,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,03-06-1898,3,6,1898,2,240,LEASEHOLD,YEARLY,78,1,8,40,6
73,SOMERSET ROAD,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,20-10-1898,20,10,1898,4,210,FREEHOLD,YEARLY,999,0,,19.5,10.76923077
28,THE AVENUE,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,02-02-1898,2,2,1898,1,300,LEASEHOLD,YEARLY,81,1,5.25,27,11.11111111
4,WAKEFIELD ROAD,TOTTENHAM,UNITED KINGDOM,Haringe,Greater London,OUTER,Greater London,16-06-1898,16,6,1898,2,275,LEASEHOLD,YEARLY,88,1,6.5,30,9.166666667
218,,TOTTENHAM COURT ROAD,UNITED KINGDOM,Camden,Greater London,INNER,Greater London,28-02-1898,28,2,1898,1,335,LEASEHOLD,YEARLY,4,1,5,120,2.791666667
11,ALFRED PLACE,TOTTENHAM COURT ROAD,UNITED KINGDOM,Camden,Greater London,INNER,Greater London,28-02-1898,28,2,1898,1,175,LEASEHOLD,YEARLY,,1,8.8,65,2.692307692
71,GRAFTON STREET,TOTTENHAM COURT ROAD,UNITED KINGDOM,Camden,Greater London,INNER,Greater London,02-03-1898,2,3,1898,1,,FREEHOLD,QUARTERLY,999,0,,60,
10,LITTLE GOODGE STREET,TOTTENHAM COURT ROAD,UNITED KINGDOM,Camden,Greater London,INNER,Greater London,25-01-1898,25,1,1898,1,660,FREEHOLD,WEEKLY,999,0,,,
130,GREEN STREET,UPTON PARK,UNITED KINGDOM,Newham,Greater London,INNER,Greater London,01-11-1898,1,11,1898,4,320,LEASEHOLD,YEARLY,95,1,8.4,35,9.142857143
1,SELSDON ROAD,UPTON PARK,UNITED KINGDOM,Newham,Greater London,INNER,Greater London,27-05-1898,27,5,1898,2,270,FREEHOLD,YEARLY,999,0,,23.4,11.53846154
49,AUCKLAND STREET,VAUXHALL,UNITED KINGDOM,Lambeth,Greater London,INNER,Greater London,14-03-1898,14,3,1898,1,590,LEASEHOLD,YEARLY,67,1,5,64.2,9.190031153
5,APPROACH ROAD,VICTORIA PARK,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,28-11-1898,28,11,1898,4,560,LEASEHOLD,YEARLY,55,1,5,46,12.17391304
63,APPROACH ROAD,VICTORIA PARK,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,02-06-1898,2,6,1898,2,360,LEASEHOLD,YEARLY,55,1,6,42,8.571428571
6,BISHOP'S ROAD,VICTORIA PARK,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,14-01-1898,14,1,1898,1,240,LEASEHOLD,YEARLY,47,1,5.25,41.6,5.769230769
91,BISHOP'S ROAD,VICTORIA PARK,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,03-03-1898,3,3,1898,1,425,LEASEHOLD,YEARLY,45,1,5.5,45,9.444444444
18,CAWLEY ROAD,VICTORIA PARK,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,21-07-1898,21,7,1898,3,440,LEASEHOLD,YEARLY,55,1,6,40,11
48,CAWLEY ROAD,VICTORIA PARK,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,21-04-1898,21,4,1898,2,410,LEASEHOLD,YEARLY,56,1,6,38,10.78947368
136,GROVE ROAD,VICTORIA PARK,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,17-11-1898,17,11,1898,4,380,LEASEHOLD,YEARLY,45,1,4,36,10.55555556
44,MORPETH ROAD,VICTORIA PARK,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,14-01-1898,14,1,1898,1,225,LEASEHOLD,YEARLY,55,1,6,39,5.769230769
28,ST. JAMES'S ROAD,VICTORIA PARK,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,07-10-1898,7,10,1898,4,360,LEASEHOLD,YEARLY,60,1,6,36,10
12,SEWARDSTONE ROAD,VICTORIA PARK,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,07-10-1898,7,10,1898,4,350,LEASEHOLD,YEARLY,60,1,5,27,12.96296296
106,SEWARDSTONE ROAD,VICTORIA PARK,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,07-10-1898,7,10,1898,4,445,LEASEHOLD,YEARLY,55,1,6,42.5,10.47058824
44,ELMSDALE ROAD,WALTHAMSTOW,UNITED KINGDOM,Waltham,Greater London,OUTER,Greater London,01-12-1898,1,12,1898,4,175,LEASEHOLD,YEARLY,77,1,5.5,26,6.730769231
202,HIGHAM HILL ROAD,WALTHAMSTOW,UNITED KINGDOM,Waltham,Greater London,OUTER,Greater London,05-04-1898,5,4,1898,2,175,FREEHOLD,YEARLY,999,0,,16.9,10.35502959
16,HERVEY PARK ROAD,WALTHAMSTOW,UNITED KINGDOM,Waltham,Greater London,OUTER,Greater London,05-07-1898,5,7,1898,3,230,FREEHOLD,YEARLY,999,0,,16.9,13.60946746
337,HOE STREET,WALTHAMSTOW,UNITED KINGDOM,Waltham,Greater London,OUTER,Greater London,24-05-1898,24,5,1898,2,510,FREEHOLD,YEARLY,999,0,,,
147,MARKHOUSE ROAD,WALTHAMSTOW,UNITED KINGDOM,Waltham,Greater London,OUTER,Greater London,24-05-1898,24,5,1898,2,560,FREEHOLD,YEARLY,999,0,,,
74,MILTON ROAD,WALTHAMSTOW,UNITED KINGDOM,Waltham,Greater London,OUTER,Greater London,24-05-1898,24,5,1898,2,230,FREEHOLD,YEARLY,999,0,,20.8,11.05769231
32,ORFORD ROAD,WALTHAMSTOW,UNITED KINGDOM,Waltham,Greater London,OUTER,Greater London,24-02-1898,24,2,1898,1,350,FREEHOLD,YEARLY,999,0,,30,11.66666667
26,STAINFORTH ROAD,WALTHAMSTOW,UNITED KINGDOM,Waltham,Greater London,OUTER,Greater London,08-03-1898,8,3,1898,1,325,LEASEHOLD,YEARLY,84,1,5,28,11.60714286
31,STAINFORTH ROAD,WALTHAMSTOW,UNITED KINGDOM,Waltham,Greater London,OUTER,Greater London,08-03-1898,8,3,1898,1,265,LEASEHOLD,YEARLY,84,1,5,28,9.464285714
38,STAINFORTH ROAD,WALTHAMSTOW,UNITED KINGDOM,Waltham,Greater London,OUTER,Greater London,08-03-1898,8,3,1898,1,295,LEASEHOLD,YEARLY,84,1,5,26,11.34615385
79a,BOYSON ROAD,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,14-04-1898,14,4,1898,2,450,LEASEHOLD,YEARLY,53,1,5,45,10
52,DEACON STREET,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,24-03-1898,24,3,1898,1,295,LEASEHOLD,MONTHLY,45,1,5,45,6.555555556
63,FINCHLEY ROAD,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,14-04-1898,14,4,1898,2,570,LEASEHOLD,YEARLY,52,1,3.5,,
1,FLEMING ROAD,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,05-10-1898,5,10,1898,4,470,LEASEHOLD,YEARLY,52,1,4,,
13,FLEMING ROAD,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,18-05-1898,18,5,1898,2,310,LEASEHOLD,YEARLY,52,1,3.75,26.4,11.74242424
88,MANN STREET,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,20-09-1898,20,9,1898,3,315,LEASEHOLD,YEARLY,54,1,5,41.6,7.572115385
39,OLNEY STREET,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,13-10-1898,13,10,1898,4,380,FREEHOLD,YEARLY,999,0,,36.4,10.43956044
47,PENROSE STREET,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,28-07-1898,28,7,1898,3,600,FREEHOLD,YEARLY,999,0,,34,17.64705882
13,SUTHERLAND SQUARE,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,26-05-1898,26,5,1898,2,200,LEASEHOLD,MONTHLY,16,1,6.4,50,4
15,SUTHERLAND SQUARE,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,13-10-1898,13,10,1898,4,425,FREEHOLD,YEARLY,999,0,,36.4,11.67582418
127,WALWORTH ROAD,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,24-03-1898,24,3,1898,1,585,LEASEHOLD,YEARLY,55,1,20,90,6.5
280,WALWORTH ROAD,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,26-10-1898,26,10,1898,4,620,COPYHOLD,YEARLY,,0,,,
68,WESTMORELAND ROAD,WALWORTH,UNITED KINGDOM,Greenwi,Greater London,INNER,Greater London,07-07-1898,7,7,1898,3,315,LEASEHOLD,YEARLY,51,1,6,30.4,10.36184211
3,ALMA ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,21-06-1898,21,6,1898,2,600,FREEHOLD,YEARLY,999,0,,37,16.21621622
2,BASKERVILLE ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,01-11-1898,1,11,1898,4,570,LEASEHOLD,YEARLY,81,1,12,55,10.36363636
3,BASKERVILLE ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,15-07-1898,15,7,1898,3,550,LEASEHOLD,YEARLY,81,1,12,60,9.166666667
36,BUCHAREST ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,15-02-1898,15,2,1898,1,170,LEASEHOLD,YEARLY,90,1,5.5,26,6.538461539
30,COMYN ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,23-06-1898,23,6,1898,2,400,LEASEHOLD,YEARLY,87,1,8.4,54.6,7.326007326
1,COTMAN STREET,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,01-12-1898,1,12,1898,4,250,LEASEHOLD,YEARLY,78,1,5.5,36.4,6.868131868
26,COTMAN STREET,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,01-12-1898,1,12,1898,4,355,LEASEHOLD,QUARTERLY,78,1,5.5,40,8.875
86,ELSPETH ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,14-06-1898,14,6,1898,2,400,LEASEHOLD,YEARLY,95,1,8.4,42,9.523809524
86,FERRIER STREET,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,29-04-1898,29,4,1898,2,200,LEASEHOLD,YEARLY,79,1,0,26,7.692307692
24,GERALDINE ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,18-07-1898,18,7,1898,3,430,LEASEHOLD,QUARTERLY,82,1,7.5,35,12.28571429
22,HUNTSMOOR ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,15-03-1898,15,3,1898,1,225,LEASEHOLD,YEARLY,92,1,6,28,8.035714286
45,HUNTSMOOR ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,27-06-1898,27,6,1898,2,315,LEASEHOLD,YEARLY,91,1,5,30,10.5
40,LEBANON GARDENS,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,01-12-1898,1,12,1898,4,405,LEASEHOLD,YEARLY,79,1,7,38,10.65789474
31,ST. ANNE'S HILL,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,15-03-1898,15,3,1898,1,365,LEASEHOLD,YEARLY,93,1,6.5,34,10.73529412
89,ST. ANNE'S HILL,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,15-03-1898,15,3,1898,1,345,LEASEHOLD,YEARLY,93,1,6.5,36,9.583333333
152,ST. JOHN'S HILL,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,27-10-1898,27,10,1898,4,615,LEASEHOLD,YEARLY,60,1,10,60,10.25
18,ST. JOHN'S HILL GROVE,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,25-07-1898,25,7,1898,3,375,FREEHOLD,YEARLY,999,0,,27,13.88888889
16,ST. JOHN'S ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,25-04-1898,25,4,1898,2,,FREEHOLD,YEARLY,999,0,,150,
14,SMEATON ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,19-01-1898,19,1,1898,1,170,LEASEHOLD,YEARLY,67,1,5,22.1,7.692307692
46,TONSLEY HILL,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,15-03-1898,15,3,1898,1,420,FREEHOLD,YEARLY,999,0,,30,14
155,TRINITY ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,09-08-1898,9,8,1898,3,325,LEASEHOLD,YEARLY,81,1,12.6,48,6.770833333
157,TRINITY ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,09-08-1898,9,8,1898,3,325,LEASEHOLD,YEARLY,81,1,12.6,48,6.770833333
53,VARDENS ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,22-02-1898,22,2,1898,1,370,LEASEHOLD,YEARLY,71,1,8,45,8.222222222
737,WANDSWORTH ROAD,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,18-04-1898,18,4,1898,2,590,LEASEHOLD,YEARLY,50,1,5,50,11.8
44,WEST HILL,WANDSWORTH,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,26-01-1898,26,1,1898,1,570,LEASEHOLD,YEARLY,86,1,10,55,10.36363636
6,ALBERT TERRACE,WANSTEAD,UNITED KINGDOM,Redbrid,Greater London,OUTER,Greater London,26-05-1898,26,5,1898,2,350,LEASEHOLD,YEARLY,82,1,7.35,38,9.210526316
1,HEATHFIELD,WANSTEAD,UNITED KINGDOM,Redbrid,Greater London,OUTER,Greater London,24-08-1898,24,8,1898,3,370,FREEHOLD,YEARLY,999,0,,28,13.21428571
90,RED LION STREET,WANSTEAD,UNITED KINGDOM,Redbrid,Greater London,OUTER,Greater London,03-03-1898,3,3,1898,1,300,FREEHOLD,YEARLY,999,0,,40,7.5
40,GREAT HERMITAGE STREET,WAPPING,UNITED KINGDOM,Camden,Greater London,INNER,Greater London,27-05-1898,27,5,1898,2,245,FREEHOLD,YEARLY,999,0,,30,8.166666667
49,GREAT HERMITAGE STREET,WAPPING,UNITED KINGDOM,Camden,Greater London,INNER,Greater London,24-02-1898,24,2,1898,1,500,FREEHOLD,YEARLY,999,0,,45,11.11111111
28,RED LION STREET,WAPPING,UNITED KINGDOM,Camden,Greater London,INNER,Greater London,16-09-1898,16,9,1898,3,385,LEASEHOLD,QUARTERLY,95,1,0,30,12.83333333
2,CHAPLIN ROAD,WEST HAM,UNITED KINGDOM,Newham,Greater London,INNER,Greater London,17-03-1898,17,3,1898,1,160,LEASEHOLD,YEARLY,83,1,3,23.4,6.837606838
6,COW CROSS STREET,WEST SMITHFIELD,UNITED KINGDOM,City of,Greater London,INNER,Greater London,21-09-1898,21,9,1898,3,,,YEARLY,,0,,188,
48,ACKLAM ROAD,WESTBOURNE PARK,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,29-04-1898,29,4,1898,2,325,LEASEHOLD,YEARLY,68,1,8,45,7.222222222
17,GREAT WESTERN ROAD,WESTBOURNE PARK,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,10-03-1898,10,3,1898,1,500,LEASEHOLD,YEARLY,58,1,7.5,60,8.333333333
23,GREAT WESTERN ROAD,WESTBOURNE PARK,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,09-06-1898,9,6,1898,2,430,LEASEHOLD,YEARLY,58,1,7.5,42,10.23809524
4,ST. MARY'S ROAD,WESTBOURNE PARK,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,07-07-1898,7,7,1898,3,375,LEASEHOLD,YEARLY,65,1,10,50,7.5
18,WOODFIELD PLACE,WESTBOURNE PARK,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,14-11-1898,14,11,1898,4,360,,YEARLY,,1,6,38,9.473684211
16,DARTMOUTH STREET,WESTMINSTER,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,11-01-1898,11,1,1898,1,,FREEHOLD,WEEKLY,999,0,,,
18,DARTMOUTH STREET,WESTMINSTER,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,11-01-1898,11,1,1898,1,,FREEHOLD,YEARLY,999,0,,56,
30,GREAT CHAPEL STREET,WESTMINSTER,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,11-01-1898,11,1,1898,1,,FREEHOLD,YEARLY,999,0,,120,
1,PAGE STREET,WESTMINSTER,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,04-04-1898,4,4,1898,2,370,LEASEHOLD,YEARLY,23,1,0,40,9.25
65,PONSONBY PLACE,WESTMINSTER,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,01-07-1898,1,7,1898,3,390,LEASEHOLD,WEEKLY,27,1,5.25,,
51,YORK STREET,WESTMINSTER,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,14-10-1898,14,10,1898,4,,LEASEHOLD,YEARLY,96,1,45,220,
9a,CHICKSAND STREET,WHITECHAPEL,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,23-06-1898,23,6,1898,2,580,LEASEHOLD,YEARLY,50,1,31.5,32.5,17.84615385
14,COLCHESTER STREET (SITE OF),WHITECHAPEL,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,31-03-1898,31,3,1898,1,,FREEHOLD,YEARLY,999,0,,,
25a,COMMERCIAL ROAD,WHITECHAPEL,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,24-03-1898,24,3,1898,1,540,LEASEHOLD,YEARLY,24,1,40,100,5.4
9,GREAT PRESCOTT STREET,WHITECHAPEL,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,11-05-1898,11,5,1898,2,,FREEHOLD,YEARLY,999,0,,75,
45,GREAT PRESCOTT STREET,WHITECHAPEL,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,28-06-1898,28,6,1898,2,,FREEHOLD,YEARLY,999,0,,,
91,LEMAN STREET,WHITECHAPEL,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,11-05-1898,11,5,1898,2,,FREEHOLD,MONTHLY,999,0,,78,
14,WHITECHAPEL ROAD,WHITECHAPEL,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,24-11-1898,24,11,1898,4,,FREEHOLD,YEARLY,999,0,,120,
18,BELTON ROAD,WILLESDEN,UNITED KINGDOM,Brent,Greater London,OUTER,Greater London,29-03-1898,29,3,1898,1,155,LEASEHOLD,YEARLY,81,1,6,26,5.961538462
14,CHURCH ROAD,WILLESDEN,UNITED KINGDOM,Brent,Greater London,OUTER,Greater London,05-05-1898,5,5,1898,2,555,LEASEHOLD,YEARLY,71,1,8,55,10.09090909
200,HIGH ROAD,WILLESDEN,UNITED KINGDOM,Brent,Greater London,OUTER,Greater London,27-04-1898,27,4,1898,2,740,LEASEHOLD,YEARLY,96,1,15,30,24.66666667
10,LANSDOWN GROVE,WILLESDEN,UNITED KINGDOM,Brent,Greater London,OUTER,Greater London,21-07-1898,21,7,1898,3,415,LEASEHOLD,YEARLY,88,1,6,38,10.92105263
7,MELROSE AVENUE,WILLESDEN,UNITED KINGDOM,Brent,Greater London,OUTER,Greater London,15-12-1898,15,12,1898,4,470,LEASEHOLD,YEARLY,94,1,7.5,45,10.44444444
29,SHREWSBURY ROAD,WILLESDEN,UNITED KINGDOM,Brent,Greater London,OUTER,Greater London,29-11-1898,29,11,1898,4,300,LEASEHOLD,YEARLY,91,1,6.25,32,9.375
3,ALEXANDRA ROAD,WIMBLEDON,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,27-06-1898,27,6,1898,2,290,LEASEHOLD,YEARLY,73,1,5,28,10.35714286
29,ALEXANDRA ROAD,WIMBLEDON,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,27-06-1898,27,6,1898,2,460,FREEHOLD,YEARLY,999,0,,32,14.375
82,ALEXANDRA ROAD,WIMBLEDON,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,26-07-1898,26,7,1898,3,310,LEASEHOLD,YEARLY,91,1,6.5,36,8.611111111
16,CROMWELL ROAD,WIMBLEDON,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,16-02-1898,16,2,1898,1,260,LEASEHOLD,YEARLY,90,1,6.5,30,8.666666667
26,CROMWELL ROAD,WIMBLEDON,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,16-02-1898,16,2,1898,1,510,LEASEHOLD,YEARLY,90,1,6.5,30,17
76,CROMWELL ROAD,WIMBLEDON,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,16-02-1898,16,2,1898,1,430,FREEHOLD,YEARLY,999,0,,30,14.33333333
276,HAYDON'S ROAD,WIMBLEDON,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,16-02-1898,16,2,1898,1,470,LEASEHOLD,YEARLY,90,1,10,45,10.44444444
282,HAYDON'S ROAD,WIMBLEDON,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,16-02-1898,16,2,1898,1,270,LEASEHOLD,YEARLY,90,1,10,40,6.75
284,HAYDON'S ROAD,WIMBLEDON,UNITED KINGDOM,Merton,Greater London,OUTER,Greater London,16-02-1898,16,2,1898,1,400,LEASEHOLD,YEARLY,90,1,10,40,10
